brand_key,n_malls_araneta,n_malls_ayala,n_malls_filinvest,n_malls_fishermall,n_malls_gmall,n_malls_megaworld,n_malls_ortigas,n_malls_robinsons,n_malls_sm,n_malls_starmall,n_malls_waltermart,n_malls_xentro,n_malls_total,n_chains,in_all_chains,in_multiple_chains,display_name
seafood ribs warehouse restaurant,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,SEAFOOD RIBS WAREHOUSE RESTAURANT
sofab,0,2,0,0,0,0,1,0,0,0,0,0,3,2,False,True,SOFAB!
wrangler,0,0,0,0,2,0,0,1,0,0,0,0,3,2,False,True,Wrangler
fiesta stamp,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,FIESTA STAMP
fiesta dabaw,0,0,0,0,2,0,0,0,1,0,0,0,3,2,False,True,Fiesta Dabaw
fiery style southwestern flaming grill,0,2,0,0,0,0,0,0,1,0,0,0,3,2,False,True,FIERY STYLE SOUTHWESTERN FLAMING GRILL
mango farm,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,THE MANGO FARM
digitall worx graphics,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,DIGITALL WORX GRAPHICS
mango tree bistro,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,MANGO TREE BISTRO
mcdodo,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,MCDODO
mangotangos,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,MANGOTANGOS
muhlach bakery,0,0,0,0,0,0,0,1,2,0,0,0,3,2,False,True,MUHLACH BAKERY
digital village,0,1,0,0,0,0,0,0,2,0,0,0,3,2,False,True,DIGITAL VILLAGE
sea salt,0,0,0,0,0,0,0,2,1,0,0,0,3,2,False,True,SEA/SALT
dental breath therapy clinic,0,0,0,0,0,0,0,1,2,0,0,0,3,2,False,True,DENTAL BREATH THERAPY CLINIC
manila baker,0,0,0,0,0,0,2,1,0,0,0,0,3,2,False,True,The Manila Baker
mont albo massage hut,0,1,0,0,0,0,0,0,2,0,0,0,3,2,False,True,MONT ALBO MASSAGE HUT
your daily bread,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,YOUR DAILY BREAD
samanthas steam boat,0,0,0,0,0,0,0,1,2,0,0,0,3,2,False,True,SAMANTHAS STEAM BOAT
me & u gift shop,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,ME & U GIFT SHOP
florsheim kids,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,FLORSHEIM KIDS
davao tuna grill,0,0,0,1,0,0,0,2,0,0,0,0,3,2,False,True,Davao Tuna Grill
altitude,1,0,1,0,0,0,0,1,0,0,0,0,3,3,False,True,Altitude
dino rides,0,0,0,0,0,0,0,3,0,0,0,0,3,1,False,False,Dino Rides
security bank atm,0,0,0,0,0,3,0,0,0,0,0,0,3,1,False,False,Security Bank ATM
executive facial care,0,0,0,0,0,0,0,2,0,0,1,0,3,2,False,True,The Executive Facial Care
majestic,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,MAJESTIC
my joy,0,2,0,0,0,0,0,0,1,0,0,0,3,2,False,True,MY JOY
alpha steel,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,ALPHA STEEL
flexifone,0,0,0,0,0,0,0,0,0,0,3,0,3,1,False,False,Flexifone
man barbers gentlemans shops,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,MAN BARBERS GENTLEMANS SHOPS
flawless,0,1,0,0,0,0,0,1,0,0,1,0,3,3,False,True,FLAWLESS
