chain,mall_id,mall_name,region,address,mall_code,source_url,property_type,scraped_at
robinsons,robinsons-malabon,Robinsons Town Mall Malabon,metro-manila,"#5 Governor Pascual Avenue corner Crispin Street, Tinajeros Malabon City",,https://robinsonsmalls.com/mall-info/robinsons-town-mall-malabon,mall,2026-07-26
robinsons,the-plaza,The Plaza Bagong Silang,metro-manila,,,https://vmd.robinsonsmalls.com/list-of-malls/metro-manila/the-plaza,mall,2026-07-26
robinsons,robinsons-cagayan-de-oro,Robinsons Cagayan de Oro,mindanao,"Rosario Crescent cor. Florentino Street, Limketkai Center, Cagayan de Oro City",,https://robinsonsmalls.com/mall-info/robinsons-cagayan-de-oro,mall,2026-07-26
robinsons,robinsons-cybergate-davao,Robinsons Cybergate Davao,mindanao,"J.P. Laurel Ave., Davao City",,https://robinsonsmalls.com/mall-info/robinsons-cybergate-davao,mall,2026-07-26
robinsons,robinsons-pagadian,Robinsons Pagadian,mindanao,,,https://robinsonsmalls.com/mall-info/pagadian,mall,2026-07-26
robinsons,robinsons-butuan,Robinsons Place Butuan,mindanao,"J.C.Aquino Avenue, Butuan City 8600",,https://robinsonsmalls.com/mall-info/robinsons-place-butuan,mall,2026-07-26
robinsons,robinsons-gen-san,Robinsons Place GenSan,mindanao,"J. Catolico Sr. Avenue, Lagao, General Santos City",,https://robinsonsmalls.com/mall-info/robinsons-place-gensan,mall,2026-07-26
robinsons,robinsons-iligan,Robinsons Place Iligan,mindanao,"Macapagal Ave, Iligan City, Lanao del Norte",,https://robinsonsmalls.com/mall-info/robinsons-place-iligan,mall,2026-07-26
robinsons,robinsons-tagum,Robinsons Place Tagum,mindanao,"National Highway Tagum City, Davao City",,https://robinsonsmalls.com/mall-info/robinsons-place-tagum,mall,2026-07-26
robinsons,robinsons-valencia,Robinsons Place Valencia,mindanao,"Sayre Highway, Brgy. Hagkol, Bagontaas Valencia, Bukidnon",,https://robinsonsmalls.com/mall-info/robinsons-place-valencia,mall,2026-07-26
robinsons,robinsons-angeles,Robinsons Angeles,north-luzon,"McArthur Highway, Balibago, Angeles City, Pampanga",,https://robinsonsmalls.com/mall-info/robinsons-angeles,mall,2026-07-26
robinsons,robinsons-gapan,Robinsons Gapan,north-luzon,,,https://robinsonsmalls.com/mall-info/gapan,mall,2026-07-26
robinsons,robinsons-luisita,Robinsons Luisita,north-luzon,"Mac Arthur Highway, Barangay San Miguel, Hacienda Luisita, Tarlac City",,https://robinsonsmalls.com/mall-info/robinsons-luisita,mall,2026-07-26
robinsons,robinsons-ilocos,Robinsons Place Ilocos,north-luzon,"Barangay 1 San Francisco, San Nicholas, Ilocos Norte",,https://robinsonsmalls.com/mall-info/robinsons-place-ilocos,mall,2026-07-26
robinsons,robinsons-la-union,Robinsons Place La Union,north-luzon,"MacArthur Highway, Brgy. Sevilla, San Fernando City, La Union",,https://robinsonsmalls.com/mall-info/la-union,mall,2026-07-26
robinsons,robinsons-malolos,Robinsons Place Malolos,north-luzon,"Mac Arthur Highway, Sumapang Matanda Malolos City, Bulacan",,https://robinsonsmalls.com/mall-info/robinsons-place-malolos,mall,2026-07-26
robinsons,robinsons-pangasinan,Robinsons Place Pangasinan,north-luzon,"Mac Arthur Highway, Brgy. San Miguel, Calasiao, Pangasinan",,https://robinsonsmalls.com/mall-info/robinsons-place-pangasinan,mall,2026-07-26
robinsons,robinsons-santiago,Robinsons Place Santiago,north-luzon,"Maharlika Highway, Mabini, Santiago City, Isabela",,https://robinsonsmalls.com/mall-info/robinsons-place-santiago,mall,2026-07-26
robinsons,robinsons-tuguegarao,Robinsons Place Tuguegarao,north-luzon,"Tanza Tuguegarao City, Cagayan",,https://robinsonsmalls.com/mall-info/robinsons-place-tuguegarao,mall,2026-07-26
robinsons,robinsons-starmills,Robinsons Starmills,north-luzon,"Brgy. San Jose City of San Fernando, Pampanga",,https://robinsonsmalls.com/mall-info/robinsons-starmills,mall,2026-07-26
robinsons,galleria-south,Robinsons Galleria South,south-luzon,"Km. 31, National Highway, Brgy. Nueva, San Pedro, Laguna",,https://robinsonsmalls.com/mall-info/galleria-south,mall,2026-07-26
robinsons,robinsons-dasmarinas,Robinsons Place Dasmarinas,south-luzon,"Emilio Aguinaldo Highway, corner Governor's Dr, Sitio Palapala, Dasmarinas, 4114 Cavite",,https://robinsonsmalls.com/mall-info/robinsons-place-dasmarinas,mall,2026-07-26
robinsons,robinsons-gentrias,Robinsons Place Gen. Trias,south-luzon,"A. Soriano Highway, EPZA-Bacao Diversion Road General Trias, Cavite",,https://robinsonsmalls.com/mall-info/robinsons-place-gen-trias,mall,2026-07-26
robinsons,robinsons-imus,Robinsons Place Imus,south-luzon,"Gen. E. Aguinaldo Highway, Imus, Cavite",,https://robinsonsmalls.com/mall-info/robinsons-place-imus,mall,2026-07-26
robinsons,robinsons-lipa,Robinsons Place Lipa,south-luzon,"JP Laurel, National Highway, Mataas na Lupa, Lipa City",,https://robinsonsmalls.com/mall-info/robinsons-place-lipa,mall,2026-07-26
robinsons,robinsons-naga,Robinsons Place Naga,south-luzon,"Roxas Avenue cor. Almeda Highway, Brgy. Triangulo, Naga City",,https://robinsonsmalls.com/mall-info/robinsons-place-naga,mall,2026-07-26
