brand_key,n_malls_araneta,n_malls_ayala,n_malls_filinvest,n_malls_fishermall,n_malls_megaworld,n_malls_ortigas,n_malls_robinsons,n_malls_sm,n_malls_starmall,n_malls_waltermart,n_malls_total,n_chains,in_all_chains,in_multiple_chains,display_name
coco fresh tea and juice,0,0,1,0,1,0,0,41,0,0,43,3,False,True,COCO FRESH TEA AND JUICE
silverworks,0,4,0,1,1,0,4,33,0,0,43,5,False,True,SILVERWORKS
moto,0,1,0,0,0,0,12,30,0,0,43,3,False,True,MOTO
china bank,0,5,0,0,0,0,0,34,0,3,42,3,False,True,CHINA BANK
7eleven,3,8,1,0,15,0,1,11,0,3,42,7,False,True,7-Eleven
watch republic,1,6,1,0,0,1,6,27,0,0,42,6,False,True,WATCH REPUBLIC
acer,0,6,1,0,0,1,6,28,0,0,42,5,False,True,ACER
robinsons department store,0,3,1,0,0,0,37,0,0,0,41,3,False,True,Robinsons Department Store
paras alter station,0,5,0,1,1,0,10,24,0,0,41,5,False,True,PARAS ALTER STATION
travel club,0,10,1,0,2,2,9,17,0,0,41,6,False,True,THE TRAVEL CLUB
potato giant,0,9,1,0,1,0,14,16,0,0,41,5,False,True,POTATO GIANT
gq barbershop,0,1,0,1,0,0,1,37,0,1,41,5,False,True,GQ BARBERSHOP
bagel girl,0,0,0,0,0,0,0,41,0,0,41,1,False,False,BAGEL GIRL
xundd,0,2,1,0,0,0,4,34,0,0,41,4,False,True,XUNDD
penshoppe accessories,0,2,0,0,0,0,3,35,0,0,40,3,False,True,PENSHOPPE ACCESSORIES
llao llao,0,0,1,0,2,0,6,31,0,0,40,4,False,True,LLAO LLAO
giordano,2,6,1,0,1,1,3,26,0,0,40,7,False,True,GIORDANO
hap chan,0,12,0,0,2,0,8,13,0,5,40,5,False,True,HAP CHAN
body shop,1,6,1,0,2,0,1,28,0,0,39,6,False,True,THE BODY SHOP
hush puppies,2,8,1,0,4,1,5,18,0,0,39,7,False,True,HUSH PUPPIES
vision express,1,9,0,0,2,1,4,22,0,0,39,6,False,True,VISION EXPRESS
office warehouse,3,4,1,0,2,1,5,20,1,1,38,9,False,True,OFFICE WAREHOUSE
mustela,0,11,0,0,3,1,4,19,0,0,38,5,False,True,MUSTELA
zarks burgers,0,0,0,0,0,0,1,37,0,0,38,2,False,True,ZARKS BURGERS
robinsons movieworld,0,0,0,0,0,0,37,0,0,0,37,1,False,False,ROBINSONS MOVIEWORLD
tronix imaging center,0,0,1,0,0,0,6,29,0,1,37,4,False,True,TRONIX IMAGING CENTER
chris sports,0,9,0,0,0,1,1,26,0,0,37,4,False,True,CHRIS SPORTS
unisilver time,0,1,0,0,0,0,7,27,2,0,37,4,False,True,UNISILVER TIME
fonestyle,0,0,1,0,2,0,3,29,0,1,36,5,False,True,FONESTYLE
coffee bean & tea leaf,0,16,2,0,7,2,7,2,0,0,36,6,False,True,THE COFFEE BEAN & TEA LEAF
timezone,0,21,1,0,2,1,6,4,0,1,36,7,False,True,TIMEZONE
expressions,0,2,0,0,0,0,7,3,1,23,36,5,False,True,Expressions
giligans restaurant,0,5,1,0,0,0,0,30,0,0,36,3,False,True,GILIGAN'S RESTAURANT
toys r us,0,17,1,0,3,1,14,0,0,0,36,5,False,True,TOYS R US
burger king,0,5,1,0,1,1,2,25,1,0,36,7,False,True,BURGER KING
french baker,0,4,0,0,1,0,4,27,0,0,36,4,False,True,THE FRENCH BAKER
games & gadgets,0,0,0,0,0,0,1,35,0,0,36,2,False,True,GAMES & GADGETS
tobys,0,0,0,0,0,0,2,34,0,0,36,2,False,True,TOBYS
buffalos wings n things,0,2,1,0,1,1,1,29,0,0,35,6,False,True,BUFFALO'S WINGS N' THINGS
pickup coffee,0,9,0,0,7,0,10,9,0,0,35,4,False,True,PICKUP COFFEE
davids for rever,0,0,0,0,0,0,0,35,0,0,35,1,False,False,DAVIDS FOR REVER
bsd international,0,0,0,0,0,0,0,34,0,0,34,1,False,False,BSD INTERNATIONAL
unica hija,0,4,0,0,1,0,13,16,0,0,34,4,False,True,UNICA HIJA
dr kong,0,13,1,0,3,2,5,10,0,0,34,6,False,True,DR. KONG
rest n go,0,7,1,0,2,0,6,11,0,7,34,6,False,True,REST N GO
tech101,0,4,0,0,0,0,3,27,0,0,34,3,False,True,TECH101
asus,0,3,0,0,0,1,2,28,0,0,34,4,False,True,ASUS
mia maison,0,0,1,1,1,0,3,28,0,0,34,5,False,True,MIA MAISON
life four cuts,0,0,1,0,2,1,9,21,0,0,34,5,False,True,LIFE FOUR CUTS
south star drug,0,0,0,0,0,0,33,1,0,0,34,2,False,True,South Star Drug
h&m,1,10,1,0,1,0,5,16,0,0,34,6,False,True,H&M
all about baking,0,0,0,0,1,0,4,24,0,4,33,4,False,True,ALL ABOUT BAKING
booksale,1,1,0,0,0,0,8,21,1,1,33,6,False,True,BOOKSALE
cabalen,0,3,1,0,1,0,4,24,0,0,33,5,False,True,CABALEN
our home,0,0,0,0,0,1,0,32,0,0,33,2,False,True,OUR HOME
